Name,Distributor,Opening,Budget,Release Date,Running Time,Genres,Widest Release
No Manches Frida 2,Pantelion Films,3831401472,0,Mar 15  2019  May 2  2019,1 hr 42 min,Comedy,472 theaters
"Where'd You Go, Bernadette",United Artists Releasing,34623082404,0,Aug 16  2019  Oct 10  2019,1 hr 49 min,Comedy,2404 theaters
Apollo 11,Neon,1607040120,0,Mar 1  2019  Jul 21  2019,1 hr 33 min,Documentary,588 theaters
Serenity,Aviron Pictures,44154032561,0,Jan 25  2019  Mar 7  2019,1 hr 46 min,Drama,2561 theaters
Anna,Lionsgate,36006472114,0,Jun 21  2019  Aug 8  2019,1 hr 59 min,Action,2114 theaters
Penguins,Walt Disney Studios Motion Pictures,22825931815,0,Apr 17  2019  Jun 13  2019,1 hr 16 min,Documentary,1815 theaters
Brittany Runs a Marathon,Amazon Studios,1807115,0,No release date,1 hr 44 min,Comedy,1033 theaters
Mary Queen of Scots,Focus Features,1947774,0,No release date,2 hr 4 min,Biography,1052 theaters
The Dead Don't Die,Focus Features,2540240613,0,Jun 14  2019  Jul 18  2019,1 hr 44 min,Comedy,690 theaters
Jexi,Lionsgate,31067302332,0,Oct 11  2019  Nov 8  2019,1 hr 24 min,Comedy,2332 theaters
Run the Race,Roadside Attractions,2161480853,0,Feb 22  2019  May 2  2019,1 hr 41 min,Drama,1075 theaters
Free Solo,National Geographic Entertainment,2942884,0,Sep 28  2018  May 2  2019,1 hr 40 min,Adventure,483 theaters
The Current War: Director's Cut,101 Studios,26337171022,0,Oct 25  2019,1 hr 48 min,Biography,1082 theaters
Captive State,Focus Features,31315252548,0,Mar 15  2019  Apr 4  2019,1 hr 49 min,Drama,2549 theaters
The Wandering Earth,CMC Pictures,168528764,0,Feb 5  2019  Apr 4  2019,2 hr 5 min,Action,129 theaters
Arctic Dogs,Entertainment Studios Motion Pictures,29013352844,0,Nov 1  2019,1 hr 32 min,Adventure,2844 theaters
Gloria Bell,A24,1452185,0,No release date,1 hr 42 min,Comedy,1127 theaters
Gully Boy,Viva Pictures Distribution,2045068258,0,Feb 14  2019  Apr 4  2019,2 hr 33 min,Drama,270 theaters
Stan & Ollie,Sony Pictures Classics,781045,0,No release date,1 hr 38 min,Biography,754 theaters
The Goldfinch,Warner Bros.,26790272542,45000000,Sep 13  2019  Oct 24  2019,2 hr 29 min,Drama,2542 theaters
Don't Let Go,OTL Releasing,2338669922,5000000,Aug 30  2019,1 hr 43 min,Drama,922 theaters
The Mustang,Focus Features,716574,0,Mar 15  2019  May 16  2019,1 hr 36 min,Drama,527 theaters
The Sun Is Also a Star,Warner Bros.,25115302073,0,May 17  2019  Jun 6  2019,1 hr 40 min,Drama,2073 theaters
Bring The Soul: The Movie,Trafalgar Releasing,2296491873,0,Aug 7  2019,1 hr 43 min,Documentary,873 theaters
Pavarotti,CBS Films,14403219,0,Jun 7  2019,1 hr 54 min,Biography,288 theaters
Tolkien,Fox Searchlight Pictures,22005371495,0,May 10  2019  Jun 13  2019,1 hr 52 min,Biography,1501 theaters
The Last Black Man in San Francisco,A24,2352727,0,Jun 7  2019,2 hr 1 min,Drama,207 theaters
War,Yash Raj Films,1607627305,21000000,Oct 2  2019,2 hr 34 min,Action,305 theaters
Cold War,Amazon Studios,543533,0,Dec 21  2018  Apr 4  2019,1 hr 29 min,Drama,270 theaters
Menteur,Entertainment One,60722989,0,Jul 12  2019,1 hr 51 min,Comedy,89 theaters
Brian Banks,Bleecker Street Media,21562721240,0,Aug 9  2019  Sep 26  2019,1 hr 39 min,Biography,1240 theaters
The Biggest Little Farm,Neon,1104925,0,May 10  2019,1 hr 31 min,Documentary,285 theaters
Dr. Seuss' The Grinch,Universal Pictures,675728554141,75000000,Nov 9  2018  Feb 14  2019,1 hr 25 min,Animation,4141 theaters
Amazing Grace,Neon,573533,0,Dec 7  2018  Jul 21  2019,1 hr 29 min,Documentary,263 theaters
Linda Ronstadt: The Sound of My Voice,Greenwich Entertainment,1132357,0,Sep 6  2019,1 hr 35 min,Biography,247 theaters
Uri: The Surgical Strike,PackYourBag Films,631146101,0,Jan 11  2019  Mar 28  2019,2 hr 18 min,Action,132 theaters
Replicas,Entertainment Studios Motion Pictures,23753252329,0,Jan 11  2019  Feb 21  2019,1 hr 47 min,Drama,2329 theaters
Pain and Glory,Sony Pictures Classics,1526364,0,Oct 4  2019,1 hr 53 min,Drama,266 theaters
Ne Zha,Well Go USA Entertainment,101575566,0,Aug 29  2019,1 hr 50 min,Action,135 theaters
Mission Mangal,FIP,1365006263,0,Aug 15  2019  Sep 26  2019,2 hr 10 min,Drama,263 theaters
The Oscar Nominated Short Films 2019: Documentary,Shorts International,938455270,0,Feb 8  2019  Mar 28  2019,No running time,Documentary,415 theaters
BTS World Tour: Love Yourself in Seoul,Fathom Events,2860016997,0,Jan 26  2019,1 hr 52 min,Documentary,997 theaters
The Beach Bum,Neon,17630701100,0,Mar 29  2019  May 9  2019,1 hr 35 min,Comedy,1100 theaters
Echo in the Canyon,Greenwich Entertainment,1176512,0,May 24  2019,1 hr 22 min,Documentary,147 theaters
Creed II,Metro-Goldwyn-Mayer (MGM),355747103441,50000000,Nov 21  2018  Mar 21  2019,2 hr 10 min,Drama,3752 theaters
Jay and Silent Bob Reboot,Saban Films,935201,0,Oct 15  2019,1 hr 45 min,Comedy,788 theaters
Maiden,Sony Pictures Classics,469316,0,Jun 28  2019,1 hr 37 min,Documentary,180 theaters
Simmba,Reliance Big Pictures,1758576301,0,Dec 28  2018  Feb 3  2019,2 hr 38 min,Action,301 theaters
Bharat,Viva Pictures Distribution,1252301311,0,Jun 5  2019  Jul 4  2019,2 hr 30 min,Action,311 theaters
Honey Boy,Amazon Studios,3010654,0,Nov 8  2019,1 hr 34 min,Drama,460 theaters
Friends 25th: The One With The Anniversary,Fathom Events,11778731586,0,Sep 23  2019,1 hr 45 min,Comedy,1586 theaters
Saaho,Yash Raj Films,1452102381,0,Aug 29  2019,2 hr 50 min,Action,381 theaters
Fantastic Beasts: The Crimes of Grindelwald,Warner Bros.,621631044163,200000000,Nov 16  2018  Feb 21  2019,2 hr 14 min,Adventure,4163 theaters
Kalank,FIP,1276581320,0,Apr 17  2019  May 9  2019,2 hr 46 min,Drama,320 theaters
Tod@s Caen,Pantelion Films,1098401371,0,Aug 30  2019  Oct 3  2019,2 hr,Comedy,371 theaters
Everybody Knows,Focus Features,712074,0,Feb 8  2019  Apr 4  2019,2 hr 13 min,Crime,283 theaters
Instant Family,Paramount Pictures,145043153286,48000000,Nov 16  2018  Jan 31  2019,1 hr 58 min,Comedy,3426 theaters
The Art of Self-Defense,Bleecker Street Media,1143747,0,Jul 12  2019  Aug 8  2019,1 hr 44 min,Comedy,550 theaters
Arctic,Bleecker Street Media,508784,0,Feb 1  2019  May 9  2019,1 hr 38 min,Adventure,268 theaters
Welcome to Marwen,Universal Pictures,23542051911,0,Dec 21  2018  Jan 17  2019,1 hr 56 min,Biography,1911 theaters
"My People, My Country",CMC Pictures,87600167,0,Oct 1  2019  Nov 7  2019,2 hr 34 min,Drama,83 theaters
Promare,GKIDS,10908554,0,Sep 17  2019,1 hr 51 min,Action,701 theaters
Super 30,Reliance Big Pictures,871256317,0,Jul 12  2019,2 hr 34 min,Biography,317 theaters
Faustina: Love and Mercy,Fathom Events,0,0,Oct 28  2019,1 hr 47 min,Biography,810 theaters
Gone with the Wind,Fathom Events,1089932717,0,Feb 28  2019  Mar 21  2019,3 hr 58 min,Drama,717 theaters
3 from Hell,Saban Films,0,0,Sep 16  2019,1 hr 55 min,Horror,667 theaters
Total Dhamaal,FIP,989387202,0,Feb 22  2019  Mar 21  2019,2 hr 10 min,Action,209 theaters
