,budget,genres,id,imdb_id,original_language,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,title,vote_average,vote_count
62,0.0,[],673214.0,tt9450078,en,New Men,6.215,[],['US'],2020-04-22,0.0,48.0,[],In Production,New Men,0.0,0.0
65,0.0,"['Drama', 'Western']",581032.0,tt6878306,en,News of the World,6.894,"['Playtone', 'Pretty Pictures', 'Universal Pictures']",['US'],2020-12-25,0.0,98.0,['en'],In Production,News of the World,0.0,0.0
68,0.0,"['Fantasy', 'Animation', 'Adventure', 'Comedy', 'Family']",400160.0,tt4823776,en,The SpongeBob Movie: Sponge on the Run,7.12,"['United Plankton Pictures', 'Nickelodeon Movies', 'Paramount Animation', 'Paramount']","['KR', 'US']",2020-05-21,0.0,98.0,['en'],In Production,The SpongeBob Movie: Sponge on the Run,0.0,0.0
71,0.0,"['Action', 'Horror', 'Science Fiction']",526896.0,tt5108870,en,Morbius,6.412000000000001,"['Columbia Pictures', 'Marvel Entertainment', 'Sony Pictures']",['US'],2020-07-30,0.0,98.0,['en'],Post Production,Morbius,0.0,0.0
72,0.0,"['Action', 'Comedy', 'Thriller']",522931.0,tt8385148,en,The Hitman's Wife's Bodyguard,6.339,"['Millennium Films', 'Campbell Grobman Films', 'Lionsgate']",['US'],2020-08-26,0.0,98.0,['en'],Post Production,The Hitman's Wife's Bodyguard,0.0,0.0
73,0.0,[],639137.0,tt11029976,en,Inside the Rain,6.207999999999998,[],[],2020-03-13,0.0,95.0,[],In Production,Inside the Rain,0.0,0.0
74,150000.0,['Horror'],660175.0,tt8749622,en,Edgar Allen Poe's Ligeia,7.8820000000000014,['Stellarblade'],['US'],2020-10-05,0.0,100.0,['en'],In Production,Edgar Allen Poe's Ligeia,0.0,0.0
78,0.0,[],567965.0,tt9148706,en,Misbehaviour,8.804,[],[],2020-03-13,0.0,98.0,['en'],In Production,Misbehaviour,0.0,0.0
80,0.0,"['Documentary', 'Music']",664416.0,tt11615290,en,Beastie Boys Story,11.253,"['Fresh Bread', 'Pulse Films', 'PolyGram Filmed Entertainment', 'Apple Inc.']",['US'],2020-04-03,0.0,98.0,['en'],In Production,Beastie Boys Story,0.0,0.0
82,0.0,[],674821.0,tt7374030,en,Frank & Zed,5.714,[],[],2020-03-08,0.0,90.0,[],In Production,Frank & Zed,0.0,0.0
87,0.0,"['Animation', 'Family', 'Fantasy', 'Comedy', 'Adventure']",522478.0,tt8376234,en,Peter Rabbit 2: The Runaway,11.532,"['Columbia Pictures', 'Animal Logic', 'Olive Bridge Entertainment', 'Sony Pictures']","['AU', 'US']",2020-03-26,0.0,98.0,['en'],Post Production,Peter Rabbit 2: The Runaway,0.0,0.0
88,0.0,"['Action', 'Science Fiction']",580489.0,tt7097896,en,Venom 2,7.796,"['Marvel Entertainment', 'Pascal Pictures', 'Columbia Pictures']",['US'],2020-10-01,0.0,98.0,['en'],Post Production,Venom 2,0.0,0.0
2312,0.0,"['Family', 'Animation', 'Comedy', 'Mystery', 'Adventure']",385103.0,tt3152592,en,Scoob!,10.758,"['Hanna-Barbera Productions', 'Warner Animation Group', 'Warner Bros. Pictures', 'Atlas Entertainment', '1492 Pictures']",['US'],2020-05-14,0.0,98.0,['en'],In Production,Scoob!,0.0,0.0
2316,0.0,"['Drama', 'Science Fiction']",581726.0,tt6654210,en,Infinite,6.579,"['Di Bonaventura Pictures', 'Paramount']",['US'],2020-08-06,0.0,98.0,['en'],Planned,Infinite,0.0,0.0
2324,0.0,"['Action', 'Adventure']",335977.0,tt1462764,en,Indiana Jones 5,4.134,"['Lucasfilm', 'Paramount']",['US'],2021-07-08,0.0,98.0,['en'],Planned,Indiana Jones 5,0.0,0.0
2348,0.0,"['Science Fiction', 'Action', 'Adventure']",524434.0,tt9032400,en,Eternals,12.732,['Marvel Studios'],['US'],2020-11-04,0.0,98.0,['en'],Post Production,Eternals,0.0,0.0
2395,0.0,"['Thriller', 'Drama']",499932.0,tt7395114,en,The Devil All the Time,6.666,"['Nine Stories Productions', 'BorderLine Films']",['US'],2020-05-15,0.0,98.0,['en'],Post Production,The Devil All the Time,0.0,0.0
2426,0.0,['Music'],622855.0,tt7736496,en,Jingle Jangle,7.497999999999998,"['260 Degrees Entertainment', 'Brillstein Entertainment Partners', 'Get Lifted Film Company']",['US'],2020-12-31,0.0,98.0,['en'],Post Production,Jingle Jangle,0.0,0.0
2439,0.0,['Documentary'],672035.0,tt11454066,en,You Cannot Kill David Arquette,9.391,['XTR'],['US'],2020-03-15,0.0,90.0,['en'],In Production,You Cannot Kill David Arquette,0.0,0.0
